date,text
2022-12-25,СМИ сообщили об освобождении восьми человек из-под лавины в Австрии 
2022-12-25,Медведев предрек Западу смену энергетического уклада 
2022-12-25,Медведев назвал 2022 год драматичным 
2022-12-25,Медведев задался вопросом о готовности Запада к развязыванию ядерной войны 
2022-12-25,Медведев: Россия приложит все усилия для достижения целей спецоперации 
2022-12-25,Медведев не видит необходимости в новых договорах по разоружению 
2022-12-25,"Спецоперация, 25 декабря: Россия не подходит к опасной черте из-за Украины "
2022-12-25,"Жертвами снежного шторма в США стали не менее 26 человек, пишут СМИ "
2022-12-25,"Число погибших в катастрофе корвета ВМС Таиланда ""Сукхотхаи"" выросло до 18 "
2022-12-25,"Запад не пытался быть посредником в кризисе на Украине, заявил Эрдоган "
2022-12-25,ММДМ эвакуировали из-за сообщения о минировании 
2022-12-25,"Корвет ""Меркурий"" во время госиспытаний поразил мишень в Балтийском море "
2022-12-25,На Украине планируют дважды за год поднять тарифы на воду 
2022-12-25,Жителям Нью-Йорка рекомендовали экономить электричество и газ из-за холодов 
2022-12-25,СМИ: Зеленский в рождественском обращении намекнул на мрачную судьбу Киева 
2022-12-25,В шестом районе Кабула прогремел взрыв 
2022-12-25,Раненный в Донецке Рогозин сообщил о пострадавших сотрудниках гостиницы 
2022-12-25,В Кременчуге улицу Молодогвардейцев переименовали в честь Шухевича 
2022-12-25,Синоптик рассказал о погоде в Москве в последние дни 2022 года 
2022-12-25,"ОАЭ предоставят Украине 2,5 тысячи домашних электрогенераторов "
2022-12-25,"Стрелявший в Париже признался, что сначала планировал ""убивать иностранцев"" "
2022-12-25,В Иране резко ответили на призывы Киева ударить по оружейным заводам страны 
2022-12-25,"Кишинев взял курс на опасную конфронтацию с Тирасполем, считает эксперт "
2022-12-25,Подполковник ВСУ пожаловался на массовое дезертирство своих военных 
2022-12-25,В Госдуме предложили рассматривать игорный бизнес как часть туриндустрии 
2022-12-25,Первый самолет прилетел в Великий Устюг после реконструкции аэропорта 
2022-12-25,В нескольких областях Украины объявили воздушную тревогу 
2022-12-25,Папа римский заявил в рождественском послании о нехватке мира 
2022-12-25,Алиева и Пашиняна ожидают на неформальном саммите СНГ в Петербурге 
2022-12-25,"Турция обсуждает использование неба Сирии с Россией, заявили в Анкаре "
2022-12-25,Правительство одобрило проект оптимизации выплат Героям СССР и России 
2022-12-25,Российские силы уничтожили три американские гаубицы М777 
2022-12-25,Российские войска отразили атаки противника на Южно-Донецком направлении 
2022-12-25,Российские войска на Донецком направлении уничтожили более 80 военных ВСУ 
2022-12-25,Украинские войска снова обстреляли Донецк и Макеевку 
2022-12-25,В Кремле назвали обеспокоенность Германии визитом Путина в Минск абсурдной 
2022-12-25,"С Рождеством, халявщик! Британцы ответили на праздничную речь Зеленского "
2022-12-25,"Цель России — в объединении русского народа, заявил Путин "
2022-12-25,"В офисе Зеленского заявили о планах ""вернуть"" Крым в 2023 году "
2022-12-25,Украинские войска обстреляли Киевский район Донецка 
2022-12-25,"И кто же она у тебя? — Ведьма!. Главные цитаты из ""Чародеев"" "
2022-12-25,Король Испании Филипп VI назвал причиной энергокризиса конфликт на Украине 
2022-12-25,"В ЛДПР оценили идею дополнительных налогов тем, кто работает не в России "
2022-12-25,"Исследователи выяснили, как в Армении относятся к притоку в страну россиян "
2022-12-25,В России за сутки госпитализировали 624 человека с COVID-19 
2022-12-25,"Украинские войска за сутки потеряли более 30 человек, заявили в ДНР "
2022-12-25,Ночные волки проведут экскурсию по байк-центру для детей из Донбасса 
2022-12-25,На Украине объявили воздушную тревогу 
2022-12-25,"Санкции против России выгодны только США, заявил Силуанов "
2022-12-25,"Все обязательства бюджета России будут выполнены, заявил Силуанов "
2022-12-25,Первый русский епископ-католик: Рождество всегда лучше праздновать дважды  
2022-12-25,Синоптик рассказал о погоде в Москве в воскресенье 
2022-12-25,"Епископ рассказал, как католики отмечали Рождество в СССР "
2022-12-25,Ефимов: более 160 компаний-экспортеров присоединились к байерской программе 
2022-12-25,Володин призвал отменить преференции для покинувших Россию 
2022-12-25,В Севастополе встретили поезд с семимиллионным пассажиром в Крым 
2022-12-25,"Канал ""Россия 1"" седьмой раз подряд лидирует по итогам года. Кто за ним? "
2022-12-25,Повсюду агенты Москвы. Раскол в православии вышел на новый уровень 
2022-12-25,Загадочные пульсации. Что обнаружила на Марсе миссия InSight 
2022-12-25,В МИД КНР заявили о серьезных трудностях в отношениях с США 
2022-12-25,"Названы знаки зодиака, представителям которых отношения в тягость "
2022-12-25,Во Франции поразились обилию предметов роскоши в российских магазинах 
2022-12-25,Украинские войска нанесли удар по Михайловке из HIMARS 
2022-12-25,В Приморье пять сёл остались без света после снегопада 
2022-12-25,Американский телеведущий назвал главную ложь 2022 года о России 
2022-12-25,"Диетолог раскрыла, каких витаминов россиянам не хватает зимой "
2022-12-25,Католическое Рождество 
2022-12-25,В Башкирии из-за пожара в жилом доме погибли два человека 
2022-12-25,В Кишиневе заявили об упадке в диалоге с Приднестровьем 
2022-12-25,"СК расследует украинские обстрелы Курской области, ДНР и ЛНР "
2022-12-24,"Зимний шторм привел к рекордному снижению добычи газа в США, пишут СМИ "
2022-12-24,В Киеве составили список военных для обучения управлению ЗРК Patriot 
2022-12-24,Принц Гарри и Меган Маркл отреагировали на извинения газеты Sun 
2022-12-24,"В Полтаве вандалы осквернили памятники Ватутину и Зыгину, сообщили СМИ "
2022-12-24,Украинские войска обстреляли из РСЗО еще две больницы в Донецке 
2022-12-24,Умер солист британской группы Faithless Макси Джаз 
2022-12-24,Премьер Белоруссии пожелал западным лидерам выйти из состояния конфронтации 
2022-12-24,Украинские войска обстреляли Ясиноватую и Пантелеймоновку из артиллерии 
2022-12-24,"Умер гендиректор ""Адмиралтейских верфей"" Александр Бузаков "
2022-12-24,В Раде заявили о диверсификации энергосистемы Украины 
2022-12-24,"В США погибли около 15 человек из-за зимнего шторма, сообщили СМИ "
2022-12-24,В США на заснеженном шоссе столкнулись около 50 автомобилей 
2022-12-24,Помощником Сунака по политическим вопросам стал журналист издания Spectator 
2022-12-24,В МЧС назвали возможную причину пожара в кемеровском приюте 
2022-12-24,Власти Энергодара сообщили об улучшении криминогенной ситуации 
2022-12-24,В Белоруссии сообщили о рекордном объеме экспорта в Россию в этом году 
2022-12-24,На востоке Украины объявили воздушную тревогу 
2022-12-24,"Германия рискует стать государством-банкротом, заявили в бундестаге "
2022-12-24,Более трех тысяч жителей Белоруссии подали заявки на полет в космос 
2022-12-24,Помощник Рогозина рассказал подробности его ранения 
2022-12-24,"Киев готовит военные провокации на границе с Белоруссией, заявил Кива "
2022-12-24,Российские войска поразили пункт управления ВСУ в Запорожской области 
2022-12-24,В Минобороны рассказали о потерях ВСУ на Краснолиманском направлении 
2022-12-24,ВС России уничтожили до 50 украинских военных на Купянском направлении 
2022-12-24,Белоруссии предложили войти в проект Российской орбитальной станции 
2022-12-24,Украинские войска выпустили еще три натовских снаряда по Донецку 
2022-12-24,Синоптик рассказал о погоде в Москве в новогоднюю ночь 
2022-12-24,В нескольких областях Украины вновь объявили воздушную тревогу 
2022-12-24,В Госдуме раскритиковали местные власти после пожара в приюте в Кемерово 
2022-12-24,Городские службы Москвы готовятся к сильной гололедице 
2022-12-24,Одна из электростанций на Украине прекратила выработку энергии 
2022-12-24,Власти Кузбасса попросили проверить данные о секте в приюте год назад 
2022-12-24,На экопремию правительства Москвы поступило рекордное число проектов 
2022-12-24,"Путин поздравил организацию ""Боевое братство"" с 25-летием "
2022-12-24,В Киеве объявили воздушную тревогу 
2022-12-24,В нескольких регионах Украины объявили воздушную тревогу 
2022-12-24,В Чечне анонсировали прямую линию Кадырова 
2022-12-24,В США Зеленского сравнили с царем Иродом из-за поездки к Байдену 
2022-12-24,Лукашенко поехал с рабочим визитом в Россию 
2022-12-24,"Организатору приюта в Кемерово, где произошел пожар, предъявили обвинения "
2022-12-24,Выбор РИА Новости: главные разводы и расставания 2022 года 
2022-12-24,Украинские войска выпустили десять ракет по Донецку 
2022-12-24,Украинские войска обстреляли Макеевку натовскими снарядами 
2022-12-24,Власти назвали предварительную причину пожара в приюте в Кемерово 
2022-12-24,Началась реконструкция Лианозовских прудов на северо-востоке Москвы 
2022-12-24,Премьер Молдавии призвала жителей страны продолжать экономить энергоресурсы 
2022-12-24,"Турчак исполнил желания троих детей на акции ""Елка желаний"" "
2022-12-24,Названа стоимость празднования Нового года в центре Москвы 
2022-12-24,"В МИД России не прокомментировали, как решить статус Карабаха в договоре "
2022-12-24,Украинские войска выпустили пять натовских снарядов по Донецку 
2022-12-24,Москвичей предупредили о мокром снеге и гололедице 
2022-12-24,В Донецке детский сад поврежден при обстреле со стороны ВСУ 
2022-12-24,"В МИД сравнили взаимодействие Молдавии с Западом с ""освоением территории"" "
2022-12-24,"США не устраивают выводы ВОЗ о причинах пандемии, заявили в Минобороны "
2022-12-24,"В Минобороны объяснили, почему США блокируют КБТО "
2022-12-24,Названы новые участники военно-биологических проектов США на Украине 
2022-12-24,Минобороны узнало исполнителей военно-биологических программ США на Украине 
2022-12-24,"Источник: в ЛНР задержали бывшего боевика ""Азова""*, готовившего теракты "
2022-12-24,Илья Муромец против Бэтмена: чем похожи наши и американские супергерои 
2022-12-24,Идеальный отдых на Мальдивах: из хмурой зимы в теплое лето 
2022-12-24,Украинские войска обстреляли Половинкино в ЛНР 
2022-12-24,Россияне назвали свои самые опрометчивые поступки в 2022 году 
2022-12-24,Украинские военные нанесли удар по Донецку 
2022-12-24,В Москве открывается выставка к 150-летию со дня рождения Скрябина 
2022-12-24,"Татьяна Навка представит новое ледовое шоу ""История любви Шахерезады"" "
2022-12-24,Биография Елены Шаниной 
2022-12-24,"Россия сохранит объем прокачки нефти через Украину, заявили в МИД "
2022-12-24,В подконтрольной Киеву части Запорожской области звучит воздушная тревога 
2022-12-24,"Опыт киберспорта может быть использован в ВС России, заявил депутат "
2022-12-24,"Диетолог рассказала, кому опасно есть мандарины "
2022-12-24,"В АТОР заявили, что отдых в Таиланде может подешеветь "
2022-12-24,"Названы пять мифов о кредитах, в которые нужно перестать верить "
2022-12-24,"В Кузбассе после пожара проверят все дома престарелых, сообщил губернатор "
2022-12-24,Минпромторг предложил адаптировать правила маркировки в новых регионах 
2022-12-24,Число погибших в приюте в Кемерово выросло до 13 человек 
2022-12-24,Пожар в приюте в Кемерово ликвидирован 
2022-12-24,"Киев активизировал работу ДРГ на Лисичанском направлении, заявили в ЛНР "
2022-12-23,"В Египте водителя обвинили в изнасиловании дипломата миссии ЕС, пишут СМИ "
2022-12-23,Детей-сирот из ДНР эвакуируют из-за обстрелов 
2022-12-23,СМИ: открывший стрельбу в Париже  объяснил свои действия расизмом 
2022-12-23,На западе Москвы ликвидировали открытое горение на складе 
2022-12-23,Площадь возгорания склада на западе Москвы составляет около 400 квадратов 
2022-12-23,Макрон призвал Алиева обеспечить передвижение по Лачинскому коридору 
2022-12-23,На западе Москвы загорелся склад 
2022-12-23,Волонтеры ОНФ привезли бойцам из Иркутской области подарки к Новому году 
2022-12-23,"Кадыров напомнил россиянам, что сила в единстве "
2022-12-23,"Путин получает достоверную информацию о ходе спецоперации, заявил Песков "
2022-12-23,"Минюст включил в реестр иноагентов журналиста Пьяных* и ""Роскомсвободу""**  "
2022-12-23,Центр Донецка остался без электричества 
2022-12-23,ВСУ обстреляли Киевский район Донецка 
2022-12-23,В Нижнем Тагиле задержали лжеминера  
2022-12-23,"Цены на газ в Европе в пятницу составили 933,2 доллара за тысячу кубов "
2022-12-23,Том Круз назвал самый опасный трюк в карьере 
2022-12-23,Украинские войска обстреляли Донецк и Ясиноватую 
2022-12-23,Макрон назвал стрельбу в Париже гнусной атакой на курдов 
2022-12-23,В СТР Молдавии отметили стремительное сокращение телеканалов и радиостанций 
2022-12-23,"Мужчина, стрелявший в больнице на Ставрополье, получил четыре года колонии "
2022-12-23,Правительство Ярославской области подвело итоги года 
2022-12-23,Украинского агента в Ростове завербовали через компьютерную игру 
2022-12-23,"США извлекают выгоду из украинского кризиса, заявил посол Китая в ЕС "
2022-12-23,В Париже усилились стычки курдов с правоохранителями 
2022-12-23,Голикова поручила проработать запрет продажи энергетиков несовершеннолетним 
2022-12-23,"Кириенко: сейчас время вызовов, убеждения нужно подтверждать поступками "
2022-12-23,Путин обратил внимание на важность эффективности обмена информацией 
2022-12-23,Путин заслушает доклады руководителей предприятий ОПК 
2022-12-23,"У украинского экс-депутата Хомутынника провели обыски, сообщили СМИ "
2022-12-23,Стыдно и больно. В Германии разгорелся скандал вокруг поставок БМП Киеву 
2022-12-23,Майданов ответил украинским властям на приговор к 15 годам тюрьмы  
2022-12-23,Туристы не отказываются от путевок в горы Сочи из-за теплой погоды 
2022-12-23,"Путин ознакомился с работой завода ""Щегловский вал"" "
2022-12-23,При стрельбе в Париже погибли трое курдов 
2022-12-23,МАГАТЭ хочет разместить постоянные группы экспертов на украинских АЭС 
2022-12-23,"ЛНР надеется, что ООН отразит информацию о пытках ВСУ бойцов республики "
2022-12-23,МАГАТЭ продолжит консультации с Москвой и Киевом о защитной зоне на ЗАЭС 
2022-12-23,Зеленский сообщил о создании на Украине агентства международной помощи 
