date,text
2022-01-21,Зеленский ввел санкции против российских компаний 
2022-01-21,Блинкен проинформировал Кулебу об итогах встречи с Лавровым 
2022-01-21,В Конгресс США внесли проект санкций против руководства России 
2022-01-21,"Семья, где устроили оргию на глазах детей, на учете не состояла "
2022-01-21,"США следуют повестке, сформулированной Россией, заявил Рябков "
2022-01-21,"Супруга экс-судьи Чечни рассказала, как с ней обращались правоохранители "
2022-01-21,Президент Молдавии не увидела причин для опасения российских военных 
2022-01-21,В Госдуме объяснили блокировку постов Sputnik Arabic в Facebook 
2022-01-21,НАТО проведет крупные учения в Средиземноморье 
2022-01-21,"Американцы ответили на вопрос об ""ужасах Москвы"" "
2022-01-21,"Аваков резко отреагировал на заявление Зеленского об ""оккупации"" Харькова  "
2022-01-21,В Северной Осетии разбираются в обстоятельствах смерти восьми рожениц 
2022-01-21,Городские службы Москвы непрерывно чистят город от снега 
2022-01-21,Минобороны России раскрыло подробности нападения на тюрьму в Хасеке  
2022-01-21,В Сербии заявили о подготовке покушения на Вучича 
2022-01-21,"Посол рассказал, что продемонстрировала недругам операция ОДКБ в Казахстане "
2022-01-21,Кадыров отреагировал на задержание жены Янгулбаева 
2022-01-21,Украинцы высмеяли Зеленского за слова об оккупации Харькова 
2022-01-21,Захарова поймала Блинкена на противоречии после его слов об Украине 
2022-01-21,Ученые раскрыли опасное последствие коронавируса для мужчин 
2022-01-21,США передадут Украине вертолеты Ми-17 
2022-01-21,Президент Болгарии назвал требования России к НАТО неприемлемыми 
2022-01-21,Белый дом ответил на вопрос об эвакуации американцев из Украины 
2022-01-21,Глава МИД Чехии заявил о готовности поддержать санкции против России 
2022-01-21,"В Германии высказались о позиции правительства по ""Северному потоку — 2"" "
2022-01-21,Штрафы ГИБДД: как проверить онлайн и чем опасны неофициальные базы 
2022-01-21,"Россия ""поймала"" Запад в ловушку, заявил депутат "
2022-01-21,Чехия подарит Украине артснаряды 
2022-01-21,"Игнорирование США требований России будет иметь последствия, заявил МИД "
2022-01-21,У побережья Дагестана произошло землетрясение 
2022-01-21,"Эксперт допустил, что запуск ""Северного потока — 2"" могут отложить "
2022-01-21,На юго-западе Японии произошло землетрясение 
2022-01-21,Курс доллара обновил максимум 2022 года 
2022-01-21,В главном здании МГУ произошло возгорание 
2022-01-21,"Мэр Харькова обратился к жителям из-за слов Зеленского об ""оккупации"" "
2022-01-21,Женевские откровения — зачем Лавров встречался с Блинкеном 
2022-01-21,"В Госдуме назвали сроки сертификации ""Северного потока — 2""   "
2022-01-21,"Президент Эстонии назвал требования России к НАТО ""политической атакой"" "
2022-01-21,Названы популярные направления для путешествий на поезде зимой и весной 
2022-01-21,Бритни Спирс перекрасила волосы в лиловый 
2022-01-21,Умер американский комик Луи Андерсон 
2022-01-21,Боль в спине: как распознать и вылечить межпозвоночную грыжу 
2022-01-21,"Генсек ООН предупредил о ""самом cтрашном"" штамме COVID-19 "
2022-01-21,Гутерреш пообещал приложить усилия для снижения напряженности в мире 
2022-01-21,Генсек ООН заявил об апогее недоверия между державами 
2022-01-21,МИД Румынии ответил на требования России к НАТО 
2022-01-21,"Глава Рязанской области: надо сделать все, чтобы не было очередей в детсады "
2022-01-21,Премьер Болгарии отреагировал на требование России к НАТО  
2022-01-21,Беглов заявил о кампании по дискредитации городских властей 
2022-01-21,Ущерб по делу замглавы Минтранса превысил 523 миллиона рублей 
2022-01-21,"Суд арестовал замглавы Минтранса Токарева, обвиняемого в мошенничестве "
2022-01-21,"Симоньян прокомментировала ""ошеломительные"" выводы Госдепа об RT и Sputnik "
2022-01-21,Национальный авиаперевозчик Вьетнама возобновит прямые рейсы с Россией 
2022-01-21,Замглавы подмосковного Воскресенска заподозрили в получении взятки 
2022-01-21,"В Netflix подтвердили, что готовят второй сезон ""Игры в кальмара"" "
2022-01-21,На Украине пожаловались на истекающий срок годности оружия из Британии 
2022-01-21,Зависть — зло: бывшая Лепса обратилась к подписчикам  
2022-01-21,В Самарской области спасли провалившегося под лед лосенка 
2022-01-21,ВОЗ одобрила применение вакцины Pfizer для детей старше пяти лет 
2022-01-21,В НАТО предложили Украине поучаствовать в разработке концепции до 2030 года 
2022-01-21,Информация о минировании здания ЦБ оказалась ложной 
2022-01-21,Соседка Градских рассказала о состоянии Коташенко после ограбления 
2022-01-21,"Суд Шри-Ланки оштрафовал россиян, собиравших жуков, на 14 тысяч долларов "
2022-01-21,"Эксперт объяснил, как США используют переговоры Лаврова и Блинкена "
2022-01-21,Блинкен сообщил о наличии возможностей восстановить СВПД 
2022-01-21,Экс-президент Польши заразился коронавирусом 
2022-01-21,"Источник: в ЕС планируют осудить Россию, если она признает ДНР и ЛНР "
2022-01-21,Косачев: нужно любыми способами донести до США позицию России по гарантиям  
2022-01-21,"На Шри-Ланке закрасили билборд ""Добро пожаловать в Краснодарский край"" "
2022-01-21,Источник сообщил об отсутствии у ЕС согласованных санкций против России 
2022-01-21,Эксперт сделал вывод по итогам переговоров Блинкена и Лаврова 
2022-01-21,Свердловские врачи спасли пациента со стопроцентным поражением легких 
2022-01-21,Цена биткоина опустилась ниже 38 тысяч долларов 
2022-01-21,Гала-шоу к 800-летию Нижнего Новгорода получило международную премию 
2022-01-21,Блинкен назвал дискуссии с Лавровым в Женеве откровенным обменом идеями 
2022-01-21,"В ФРГ ответили на заявление о неуплате компенсации за ""Северный поток — 2"" "
2022-01-21,СМИ: Меркель отказала в ужине будущему главе ее партии 
2022-01-21,Управделами президента отреагировало на фото с низкими ценами в столовой ГД 
2022-01-21,"На Украине готовят масштабную провокацию, считают в Совфеде "
2022-01-21,"В Подмосковье коллективный иммунитет к COVID-19 достиг 75,8% "
2022-01-21,Совфед перенес встречу с патриархом Кириллом 
2022-01-21,"США письменно ответят на предложения России по безопасности, заявил Блинкен "
2022-01-21,Мишустин поручил с 21 января перевести аппарат правительства на удаленку 
2022-01-21,СК прокомментировал проблему незащищенности русскоязычных в Донбассе 
2022-01-21,Минск пообещал адекватный ответ на разговор с Белоруссией с позиции силы 
2022-01-21,Германия экстрадировала в Россию экс-советника главы Дагестана 
2022-01-21,"США не поступятся перед Россией фундаментальными принципами, заявил Блинкен "
2022-01-21,"В России уровень коллективного иммунитета к COVID-19 достиг 64,4% "
2022-01-21,"США используют Украину как инструмент борьбы с Россией, заявил Джабаров  "
2022-01-21,Блинкен подтвердил планы новых контактов с Россией 
2022-01-21,"Новая встреча Лаврова и Блинкена может пройти в феврале, сообщил источник "
2022-01-21,Блинкен назвал условие для военного ответа США 
2022-01-21,Блинкен пообещал провести консультации с Байденом после встречи с Лавровым 
2022-01-21,"Блинкен рассказал о выборе, перед которым стоит Россия "
2022-01-21,Блинкен озвучил Лаврову свои идеи по безопасности 
2022-01-21,Блинкен назвал переговоры с Лавровым откровенными и субстантивными 
2022-01-21,"Нужно будет время на изучение ответа США по безопасности, сообщил источник "
2022-01-21,"Байден оконфузился, угрожая России расширением НАТО "
2022-01-21,Плутницкого назначили замглавы Минздрава 
2022-01-21,Премьер Словакии осудил вице-премьера за критику санкций против России 
2022-01-21,Российский рынок акций замедлил падение по итогам переговоров в Женеве 
2022-01-21,Жители Липецкой области оценили качество ремонта дорог 
2022-01-21,Украинская прокуратура обжаловала решение о мере пресечения Порошенко 
2022-01-21,Документ о признании ДНР и ЛНР рассмотрит комитет Госдумы по СНГ 
2022-01-21,Лавров выразил сожаление поведением Запада 
2022-01-21,Лавров призвал Блинкена озвучить публично ответ США на предложения России 
2022-01-21,"Блинкен не прокомментировал заявления США об ОДКБ, заявил Лавров "
2022-01-21,"Блинкен не обосновал позицию о российской ""угрозе"" Украине, заявил Лавров "
2022-01-21,Лидия Федосеева-Шукшина попала в пансионат для пожилых 
2022-01-21,Прокуратура Греции завела дело на монахов Афона 
2022-01-21,"Лавров: США, вероятно, поняли, что нужно работать на вопросами безопасности "
2022-01-21,"Путин всегда готов к контактам с Байденом, заявил Лавров "
2022-01-21,Лавров призвал не сводить к вопросу Украины тему европейской безопасности 
2022-01-21,Московская область приняла около двух миллионов туристов этой зимой 
2022-01-21,Мишустин продлил полномочия Урина на посту гендиректора Большого театра 
2022-01-21,"Лавров ""почти уверен"", что в письменном ответе США будет пассаж про Украину "
2022-01-21,"НАТО работает против России, заявил Лавров "
2022-01-21,Рубль укрепляется к доллару на фоне итогов переговоров Лаврова и Блинкена 
2022-01-21,Лавров прокомментировал документы Госдепа к его встрече с Блинкеном 
2022-01-21,"Россия рассчитывает, что эмоций со стороны США поубавится, заявил Лавров "
2022-01-21,Шойгу: контакты Москвы и Лондона помогут снизить напряженность в Европе 
2022-01-21,"Россия никогда не угрожала украинскому народу, заявил Лавров "
2022-01-21,Лавров: США пообещали ответить на предложения России на следующей неделе 
